,mean,std,max,tempo_mean,tempo_std,tempo_max,bandwidth,centroid,label
0,0.20613253,0.17199317,0.9739444,142.3799175592692,0.38244319303850666,142.56465517241378,339.3945594436393,350.3636314704756,murmur
1,0.031231605,0.043285273,0.5292713,128.94586817917101,16.122454089222447,142.56465517241378,358.1257313609759,276.30216444183344,normal
2,0.041627094,0.049334142,0.54639244,145.13678916368514,0.5042813343060025,145.57658450704224,393.03998406364025,457.8510716822372,murmur
3,0.07599501,0.14804891,1.00009,85.72072277580384,1.7319184710513351,88.72049356223177,316.85614803140675,212.44295137918175,Bunlabelledtest
4,0.029222155,0.03729373,0.3056927,116.83180571290362,0.6033627993638258,117.45383522727273,396.31078287630646,344.06232723293715,Bunlabelledtest
5,0.03543049,0.056752376,1.0000639,130.22277096289073,21.227357881797655,157.80057251908397,378.6726641713478,329.024250410104,normal
6,0.036082897,0.065922156,0.60271025,135.0742343069758,51.66809221002244,198.76802884615384,362.2138253688763,284.1046462574774,normal
7,0.059868053,0.10348785,0.9426275,126.98030861259546,1.2845543191843143,130.01179245283018,338.3132117430146,248.14579547560632,Bunlabelledtest
8,0.045812145,0.07517872,0.7087603,103.24205380922469,24.269584922778026,154.267723880597,420.9374758228281,351.22689390188657,normal
9,0.04391394,0.091372244,0.79784393,165.4050699911447,18.477787233848588,173.71323529411765,383.28945778311197,291.21558731218664,murmur
10,0.03088434,0.052097566,0.53437036,106.32752480084118,4.812409364086939,113.58173076923077,381.52078936152145,316.93458746036873,normal
11,0.050013505,0.08519075,0.9704254,108.89455678581375,16.83863125255069,145.57658450704224,326.6958279329804,225.6767363876267,normal
12,0.026325418,0.032259215,0.2770594,110.51515295251717,5.41161849360736,120.88815789473684,426.21816825310646,365.8601486274352,normal
13,0.085853,0.12234105,0.994438,139.67483108108107,2.842170943040401e-14,139.6748310810811,338.33712320931335,368.70754621045836,normal
14,0.05547483,0.110291235,0.99499613,90.26398619107643,2.6023612780777055,91.875,397.36771796773104,289.88453588888996,normal
15,0.015864229,0.020057557,0.26754043,115.24051328102468,16.980944518841216,146.6090425531915,457.25765648340575,381.26766874558996,Bunlabelledtest
16,0.03900752,0.07072575,0.76351166,110.17388182181068,7.4879994230042755,135.11029411764707,428.50030723433935,357.79581298796126,normal
17,0.050253466,0.05793571,0.67783785,120.6889793569684,11.820639054551524,141.58818493150685,357.71891326064855,299.528529486252,murmur
18,0.03283655,0.051207934,0.5159991,89.87771739130434,0.0,89.87771739130434,436.1244240938444,334.72626840038515,normal
19,0.07128648,0.12386914,0.9934115,111.56202116568966,8.818761855556073,141.58818493150685,397.283538280931,359.53322487870605,normal
20,0.04588483,0.08481748,0.9233345,146.5916237824743,0.13296893023464487,146.6090425531915,356.49898365536177,269.0011247595734,normal
21,0.03313204,0.05264709,0.9777598,117.72697874875102,7.3820880198966075,136.8998344370861,384.09256159868664,377.89799113411004,normal
22,0.065221466,0.11458176,0.9887413,108.87227177410634,1.1687568573239688,111.13911290322581,323.3878761521522,214.80297616374892,normal
23,0.053132497,0.0824723,0.97041565,87.41947196818761,0.25601601433139737,87.96542553191489,376.24717684226636,258.71881601307916,murmur
24,0.048293907,0.07471742,1.0000104,101.33093101510246,4.462976861174001,122.31878698224853,408.0862033911093,369.621930854831,Bunlabelledtest
25,0.039489653,0.06279125,0.67781633,118.0231533963575,0.4338586992544677,118.80387931034483,335.50973905191626,258.75627647234785,Bunlabelledtest
26,0.017026855,0.027075736,0.24507183,109.87997019011479,8.65042238368948,138.73741610738256,523.5818469234201,521.1747824846078,Bunlabelledtest
27,0.048651986,0.09957418,0.9885832,131.65977100169744,1.7022312436149836,138.73741610738256,372.8085843496696,272.7648000012629,normal
28,0.01833496,0.02777044,0.58092064,118.9500314710709,23.684009140041077,168.0640243902439,384.6760510994461,309.93700802586517,extrastole
29,0.033235654,0.046046875,0.43566477,123.68165237881833,17.507102662345694,149.7961956521739,397.07643083149037,326.2330583635793,Bunlabelledtest
30,0.01573513,0.021688309,0.32563895,128.39610373546233,11.800770295821673,145.57658450704224,467.91731202499915,408.0337193991923,Bunlabelledtest
31,0.035694987,0.062584236,0.6847398,110.48887186346822,1.0087595379561305,112.34714673913044,441.05372763947696,360.73654445168626,Bunlabelledtest
32,0.108221985,0.18041801,1.000769,98.40230369705735,3.7132708488077806,101.33272058823529,303.74275420054033,205.78270008200687,extrastole
33,0.03091189,0.05202324,0.37652457,97.12349308115768,0.3991090974307795,97.50884433962264,385.6660459022303,320.5283982378121,extrastole
34,0.051008567,0.06696175,0.9924398,115.40522593158612,9.999698317355962,150.88959854014598,337.2502948423497,303.0635575820697,normal
35,0.032807436,0.050545022,0.58882636,100.63000699265466,0.31102298171873494,101.33272058823529,355.8346014813378,265.24022248053694,Bunlabelledtest
36,0.054840688,0.097675,0.9132704,123.62103176090484,3.263882698657465,126.8213190184049,325.39082560829866,242.0009524504737,normal
37,0.014442919,0.024242291,0.7223398,121.41725692756572,21.64997090167259,160.24709302325581,403.8524382364534,336.1751708713687,murmur
38,0.03696421,0.063797764,0.6663529,125.38158721865118,19.457301130977214,144.55856643356643,417.0459044456414,335.1751009911997,normal
39,0.014354357,0.02762435,0.81656486,119.22405146157814,33.70454196832737,179.7554347826087,443.39899946220794,395.4869002707785,normal
